"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
8 Sep 2021 04:00:00.000,-17.647,11.865,1001.951976,-0.043791,0.034478,0.009386
8 Sep 2021 04:01:00.000,-20.261,13.968,1002.547719,-0.043280,0.035696,0.010436
8 Sep 2021 04:02:00.000,-22.842,16.151,1003.202107,-0.042675,0.037126,0.011337
8 Sep 2021 04:03:00.000,-25.383,18.426,1003.905745,-0.041966,0.038783,0.012075
8 Sep 2021 04:04:00.000,-27.879,20.808,1004.648543,-0.041140,0.040683,0.012640
8 Sep 2021 04:05:00.000,-30.321,23.312,1005.419855,-0.040184,0.042844,0.013024
8 Sep 2021 04:06:00.000,-32.701,25.953,1006.208638,-0.039081,0.045280,0.013221
8 Sep 2021 04:07:00.000,-35.010,28.750,1007.003607,-0.037813,0.048006,0.013230
8 Sep 2021 04:08:00.000,-37.238,31.719,1007.793401,-0.036359,0.051030,0.013049
8 Sep 2021 04:09:00.000,-39.372,34.878,1008.566742,-0.034697,0.054352,0.012682
8 Sep 2021 04:10:00.000,-41.399,38.246,1009.312597,-0.032802,0.057960,0.012135
8 Sep 2021 04:11:00.000,-43.305,41.838,1010.020335,-0.030649,0.061820,0.011414
8 Sep 2021 04:12:00.000,-45.074,45.668,1010.679875,-0.028215,0.065878,0.010531
8 Sep 2021 04:13:00.000,-46.687,49.746,1011.281833,-0.025481,0.070043,0.009498
8 Sep 2021 04:14:00.000,-48.127,54.073,1011.817648,-0.022434,0.074192,0.008330
8 Sep 2021 04:15:00.000,-49.375,58.646,1012.279705,-0.019073,0.078162,0.007044
8 Sep 2021 04:16:00.000,-50.411,63.447,1012.661442,-0.015411,0.081759,0.005658
8 Sep 2021 04:17:00.000,-51.220,68.447,1012.957439,-0.011481,0.084772,0.004191
8 Sep 2021 04:18:00.000,-51.785,73.605,1013.163496,-0.007333,0.086998,0.002665
8 Sep 2021 04:19:00.000,-52.097,78.869,1013.276690,-0.003038,0.088269,0.001101
8 Sep 2021 04:20:00.000,-52.149,84.178,1013.295415,0.001320,0.088483,-0.000478
8 Sep 2021 04:21:00.000,-51.939,89.467,1013.219405,0.005650,0.087622,-0.002051
8 Sep 2021 04:22:00.000,-51.473,94.674,1013.049739,0.009865,0.085756,-0.003594
8 Sep 2021 04:23:00.000,-50.759,99.742,1012.788823,0.013889,0.083030,-0.005087
8 Sep 2021 04:24:00.000,-49.810,104.626,1012.440360,0.017662,0.079638,-0.006507
8 Sep 2021 04:25:00.000,-48.644,109.291,1012.009295,0.021144,0.075791,-0.007835
8 Sep 2021 04:26:00.000,-47.277,113.717,1011.501750,0.024316,0.071692,-0.009052
8 Sep 2021 04:27:00.000,-45.730,117.893,1010.924936,0.027172,0.067516,-0.010140
8 Sep 2021 04:28:00.000,-44.021,121.820,1010.287054,0.029723,0.063403,-0.011084
8 Sep 2021 04:29:00.000,-42.167,125.505,1009.597178,0.031984,0.059456,-0.011870
8 Sep 2021 04:30:00.000,-40.186,128.959,1008.865131,0.033978,0.055744,-0.012487
8 Sep 2021 04:31:00.000,-38.092,132.199,1008.101344,0.035729,0.052307,-0.012926
8 Sep 2021 04:32:00.000,-35.900,135.241,1007.316709,0.037262,0.049164,-0.013181
8 Sep 2021 04:33:00.000,-33.622,138.104,1006.522427,0.038601,0.046321,-0.013247
8 Sep 2021 04:34:00.000,-31.268,140.804,1005.729846,0.039767,0.043772,-0.013124
8 Sep 2021 04:35:00.000,-28.850,143.360,1004.950299,0.040779,0.041504,-0.012813
8 Sep 2021 04:36:00.000,-26.375,145.788,1004.194945,0.041655,0.039503,-0.012319
8 Sep 2021 04:37:00.000,-23.851,148.104,1003.474604,0.042408,0.037752,-0.011648
8 Sep 2021 04:38:00.000,-21.285,150.321,1002.799606,0.043053,0.036235,-0.010811
8 Sep 2021 04:39:00.000,-18.683,152.454,1002.179635,0.043600,0.034935,-0.009817
8 Sep 2021 04:40:00.000,-16.051,154.515,1001.623595,0.044057,0.033838,-0.008683
8 Sep 2021 04:41:00.000,-13.394,156.516,1001.139476,0.044432,0.032933,-0.007424
8 Sep 2021 04:42:00.000,-10.718,158.469,1000.734240,0.044731,0.032207,-0.006059
8 Sep 2021 04:43:00.000,-8.025,160.382,1000.413716,0.044958,0.031653,-0.004606
8 Sep 2021 04:44:00.000,-5.321,162.268,1000.182516,0.045117,0.031264,-0.003087
8 Sep 2021 04:45:00.000,-2.609,164.135,1000.043971,0.045211,0.031035,-0.001523
8 Sep 2021 04:46:00.000,0.107,165.993,1000.000074,0.045240,0.030963,0.000063
8 Sep 2021 04:47:00.000,2.822,167.851,1000.051458,0.045206,0.031047,0.001647
8 Sep 2021 04:48:00.000,5.534,169.719,1000.197382,0.045107,0.031289,0.003208
8 Sep 2021 04:49:00.000,8.237,171.606,1000.435747,0.044943,0.031691,0.004723
8 Sep 2021 04:50:00.000,10.929,173.523,1000.763119,0.044710,0.032258,0.006170
8 Sep 2021 04:51:00.000,13.604,175.478,1001.174788,0.044405,0.032997,0.007528
8 Sep 2021 04:52:00.000,16.259,177.484,1001.664831,0.044024,0.033917,0.008777
8 Sep 2021 04:53:00.000,18.889,179.550,1002.226203,0.043560,0.035029,0.009901
8 Sep 2021 04:54:00.000,21.488,-178.311,1002.850836,0.043006,0.036346,0.010882
8 Sep 2021 04:55:00.000,24.051,-176.086,1003.529762,0.042353,0.037881,0.011707
8 Sep 2021 04:56:00.000,26.571,-173.762,1004.253239,0.041590,0.039651,0.012365
8 Sep 2021 04:57:00.000,29.042,-171.325,1005.010894,0.040704,0.041673,0.012845
8 Sep 2021 04:58:00.000,31.456,-168.758,1005.791874,0.039681,0.043962,0.013141
8 Sep 2021 04:59:00.000,33.804,-166.045,1006.585001,0.038502,0.046534,0.013249
8 Sep 2021 05:00:00.000,36.076,-163.169,1007.378935,0.037149,0.049401,0.013168
8 Sep 2021 05:01:00.000,38.261,-160.112,1008.162332,0.035599,0.052567,0.012898
8 Sep 2021 05:02:00.000,40.346,-156.856,1008.924012,0.033830,0.056026,0.012445
8 Sep 2021 05:03:00.000,42.318,-153.384,1009.653112,0.031816,0.059759,0.011814
8 Sep 2021 05:04:00.000,44.161,-149.681,1010.339245,0.029533,0.063722,0.011015
8 Sep 2021 05:05:00.000,45.858,-145.734,1010.972641,0.026959,0.067844,0.010060
8 Sep 2021 05:06:00.000,47.392,-141.538,1011.544290,0.024078,0.072019,0.008961
8 Sep 2021 05:07:00.000,48.743,-137.093,1012.046066,0.020882,0.076106,0.007735
8 Sep 2021 05:08:00.000,49.893,-132.410,1012.470839,0.017375,0.079925,0.006399
8 Sep 2021 05:09:00.000,50.824,-127.510,1012.812579,0.013581,0.083272,0.004972
8 Sep 2021 05:10:00.000,51.519,-122.430,1013.066433,0.009540,0.085936,0.003475
8 Sep 2021 05:11:00.000,51.965,-117.214,1013.228801,0.005312,0.087727,0.001928
8 Sep 2021 05:12:00.000,52.154,-111.921,1013.297380,0.000977,0.088505,0.000354
8 Sep 2021 05:13:00.000,52.082,-106.613,1013.271196,-0.003379,0.088207,-0.001225
